context,source,target
director servicios financieros,director financial services,director servicios financieros
administrador unico director general,director general,administrador unico director general
director director general,director general,director director general
director general ejecutivo,director general,director general ejecutivo
director oficina trabajo temporal,director head office,director oficina trabajo temporal
adjunto director recursos humanos,director human resources,adjunto director recursos humanos
director de organizacion de recursos humanos,director human resources,director de organizacion de recursos humanos
director departamento recursos humanos,director human resources,director departamento recursos humanos
director desarrollo recursos humanos,director human resources,director desarrollo recursos humanos
director recursos humanos administracion,director human resources,director recursos humanos administracion
director recursos humanos servicios generales,director human resources,director recursos humanos servicios generales
subdirector general recursos humanos,director human resources,subdirector general recursos humanos
responsable departamento tic,director ict,responsable departamento tic
realizador informativos,director information technology,realizador informativos
director de infraestructura,director infrastructure,director de infraestructura
director departamento estructuras,director infrastructure,director departamento estructuras
director infraestructuras,director infrastructure,director infraestructuras
instructor de actividades dirigidas,director instructor,instructor de actividades dirigidas
director seguros empresa,director insurance,director seguros empresa
director participadas,director investor,director participadas
director ocio libre,director leisure,director ocio libre
director mantenimiento,director maintenance,director mantenimiento
director servicios gestionados,director managed service,director servicios gestionados
director gerencia,director management,director gerencia
director nuevo negocio,director new business,director nuevo negocio
director desarrollo nuevos negocios,director new business development,director desarrollo nuevos negocios
director de enfermeria,director nursing,director de enfermeria
director oficina delegado,director office,director oficina delegado
director linea,director online,director linea
socio director,director partner,socio director
socio director oficina,director partner,socio director oficina
director cuenta banca personal,director personal trainer,director cuenta banca personal
director de personal,director personal trainer,director de personal
entrenador personal monitor actividades dirigidas,director personal trainer,entrenador personal monitor actividades dirigidas
director fisioterapeuta,director physiotherapist,director fisioterapeuta
responsable compras planificacion,director planning,responsable compras planificacion
director planificacion desarrollo,director planning development,director planificacion desarrollo
director banca particulares,director private banking,director banca particulares
director banca privada,director private banking,director banca privada
director cuenta banca privada,director private banking,director cuenta banca privada
director equipo banca privada,director private banking,director equipo banca privada
director oficina banca privada,director private banking,director oficina banca privada
director de organizacion y procesos,director process,director de organizacion y procesos
director de procesos,director process,director de procesos
director compras aprovisionamiento,director procurement,director compras aprovisionamiento
director compras aprovisionamientos,director procurement,director compras aprovisionamientos
responsable compras aprovisionamientos,director procurement,responsable compras aprovisionamientos
director de contratacion de producto,director products,director de contratacion de producto
vendedor de productos de micro informatica,director products,vendedor de productos de micro informatica
director de sede,director professional,director de sede
director del departamento de desarrollo,director professional development,director del departamento de desarrollo
director servicios centrales,director professional services,director servicios centrales
director tecnico de proyecto,director project manager,director tecnico de proyecto
director de relaciones publicas,director public relations,director de relaciones publicas
adjunto director calidad,director quality,adjunto director calidad
director calidad procesos,director quality,director calidad procesos
director de calidad y organizacion,director quality,director de calidad y organizacion
director de produccion y calidad,director quality,director de produccion y calidad
director gestion calidad,director quality management,director gestion calidad
director de agencia inmobiliaria,director real estate,director de agencia inmobiliaria
director inmobiliario,director real estate,director inmobiliario
director oficina inmobiliaria,director real estate,director oficina inmobiliaria
director residencial,director residential,director residencial
director riesgos,director risk,director riesgos
director servicio post venta,director sales service,director servicio post venta
secretaria de direccion,director secretary,secretaria de direccion
director de seguridad,director security,director de seguridad
director servicio atencion,director service,director servicio atencion
